Election Title,results_pres
Winner,Steven Xu
Round,2
"3765705:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765722:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765728:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765731:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765732:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765751:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765752:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765755:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765776:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
Eliminated Candidates,
